ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0060326,cell chemotaxis,92/2403,308/18994,0.298701299,2.361020586,9.164721413,7.04E-16,1.81E-13,1.54E-13,Ccl20/Ackr3/Gpr35/Slamf1/Slamf9/Slamf8/Sell/Cxcr2/Cxcr1/Prkcq/Mmp9/Thbs1/Edn3/Cxcr3/Vcam1/Il12a/Csf1/S100a8/S100a9/S100a14/Pde4b/Ccl19/Pdgfra/Stap1/Bst1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Serpine1/Klrk1/Ptpro/Alox5/Ptn/Rarres2/C3ar1/Saa3/Trpm2/Mmp2/Ccl22/Cx3cl1/Ccl17/Calr/Fgfr1/Ednrb/Ptk2b/Gpr18/Ephb1/Ccrl2/Xcr1/Ccr3/Ccr2/Ccr5/Ccr9/Cxcr6/Pdgfd/Cx3cr1/Fgf18/Ccl8/Ccl5/Ccl6/Ccl3/Ccl4/Ccl2/Ccl7/Ccl11/Mmp28/Edn1/Pde4d/Itga1/Cxcl14/Ccl28/Pgf/Agr2/Nr4a1/Retnlg/Trem1/Smoc2/Fpr2/Pla2g7/Ccr6/Aif1/Lox/Hbegf/Fgf1/Cd74/Anxa1,92
GO:0001562,response to protozoan,29/2403,46/18994,0.630434783,4.983137021,10.293424,1.55E-15,3.82E-13,3.25E-13,Il10/Cd40/Gbp7/Gbp3/Gbp2b/Gbp2/Il12a/Tlr12/Gbp8/Gbp9/Gbp4/Gbp10/Gbp6/Pf4/Gbp11/Il6/Bpgm/Spn/Nkg7/Irf8/Igtp/Irgm2/Tgtp1/Tgtp2/Batf/Ier3/Iigp1/Batf2/Ccdc88b,29
GO:0070098,chemokine-mediated signaling pathway,40/2403,82/18994,0.487804878,3.855749419,9.862696785,1.64E-15,3.90E-13,3.31E-13,Ccl20/Ackr3/Gpr35/Ackr1/Cxcr2/Cxcr1/Cxcr3/Mpl/Ccl19/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Ccl22/Cx3cl1/Ccl17/Ptk2b/Ccrl2/Xcr1/Ccr3/Ccr2/Ccr5/Ccr9/Cxcr6/Cx3cr1/Ccl8/Ccl5/Ccl6/Ccl3/Ccl4/Ccl2/Ccl7/Ccl11/Edn1/Ccr6,40
GO:0019884,antigen processing and presentation of exogenous antigen,27/2403,41/18994,0.658536585,5.205261716,10.25848823,2.93E-15,6.68E-13,5.68E-13,Ctse/B2m/Cd1d1/Ctss/Fcgr1/Clec4a2/Clec4a3/Clec4a4/Psme1/Psme2/H2-DMa/H2-DMb2/H2-DMb1/Tap2/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Tapbp/H2-K1/H2-Oa/H2-Eb2/H2-T23/Cd74/Unc93b1/Mpeg1,27
GO:0031343,positive regulation of cell killing,44/2403,99/18994,0.444444444,3.513016137,9.540624747,4.87E-15,1.07E-12,9.09E-13,Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Il12a/P2rx7/Stap1/Cxcl1/Gimap3/Klrk1/Klrc3/Klri1/Klri2/Klrb1c/Lag3/Mill2/H60c/Ulbp1/Raet1e/H60b/Prf1/Pnp/Ccr5/Crtam/Nos2/Ccl2/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,44
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,41/2403,88/18994,0.465909091,3.682678848,9.599477218,5.53E-15,1.17E-12,9.96E-13,Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Il12a/P2rx7/Stap1/Cxcl1/Gimap3/Klrk1/Klrc3/Klri1/Klri2/Klrb1c/Lag3/Mill2/H60c/Ulbp1/Raet1e/H60b/Pnp/Crtam/Ccl2/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,41
GO:0042832,defense response to protozoan,27/2403,42/18994,0.642857143,5.081326913,10.07710752,7.22E-15,1.48E-12,1.25E-12,Il10/Cd40/Gbp7/Gbp3/Gbp2b/Gbp2/Il12a/Tlr12/Gbp8/Gbp9/Gbp4/Gbp10/Gbp6/Pf4/Gbp11/Il6/Bpgm/Nkg7/Irf8/Igtp/Irgm2/Tgtp1/Tgtp2/Batf/Iigp1/Batf2/Ccdc88b,27
GO:0048525,negative regulation of viral process,47/2403,112/18994,0.419642857,3.31697729,9.359317486,8.55E-15,1.69E-12,1.44E-12,Stat1/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Sp100/Ifih1/Fcnb/Znfx1/Isg15/Trim14/Oas1h/Oas1g/Oas1a/Oas2/Oas3/Oas1e/Oas1b/Oasl2/Oasl1/Isg20/Ifitm1/Ifitm3/Ifitm6/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Trim21/Bst2/N4bp1/Ccl5/Rsad2/Ly6e/Apobec3/Ciita/Mx2/Trim10/Eif2ak2/Tnf/Cd74/Fam111a,47
GO:0002478,antigen processing and presentation of exogenous peptide antigen,24/2403,34/18994,0.705882353,5.579496218,10.17127472,9.30E-15,1.78E-12,1.51E-12,Ctse/B2m/Ctss/Fcgr1/Clec4a2/Clec4a3/Clec4a4/H2-DMa/H2-DMb2/H2-DMb1/Tap2/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Tapbp/H2-K1/H2-Oa/H2-Eb2/H2-T23/Cd74/Unc93b1/Mpeg1,24
GO:0002699,positive regulation of immune effector process,88/2403,300/18994,0.293333333,2.318590651,8.761064711,9.90E-15,1.82E-12,1.55E-12,Il17a/Il17f/Tnfsf4/Cd28/Slamf1/Fcer1a/Slamf6/Il1r1/Il10/Ptprc/Fcnb/B2m/Cd40/Gata3/Rasgrp1/Sh2d1a/Tlr7/Gata1/Tlr2/Il21/Cd1d1/Cd160/Il12a/Fcgr1/Ptafr/Rigi/Ccl19/Tnfrsf14/P2rx7/Stap1/Cxcl1/Il6/Clnk/Gimap3/Nod1/Klrk1/Klrc3/Klri1/Klri2/Irf5/Klrb1c/Cd27/Ptpn6/Lag3/Mill2/Pycard/Cd177/H60c/Ulbp1/Raet1e/H60b/Tlr3/Ddx60/Htr2a/Pnp/Lacc1/Tlr9/Ccr2/Crtam/Casp1/Casp4/Scimp/Tbx21/Il13/Irf1/Ccl2/Dhx58/Rsad2/H2-DMb2/H2-DMb1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/Tnf/H2-T24/H2-T23/H2-T22/H2-Q7/Cd74/Ms4a2/Anxa1,88
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,109/2403,409/18994,0.266503667,2.10652129,8.609492134,1.02E-14,1.82E-12,1.55E-12,Exo1/Stat4/Tnfsf4/Cd28/Pdcd1/Fcgr4/Slamf1/Pla2g4a/Fcer1a/Slamf6/Ly9/Il1r1/Ptprc/Prkcq/B2m/Cd40/Gata3/Serping1/Cd40lg/Cd1d1/Il12a/Fcgr1/C1qb/C1qc/C1qa/Mpl/Ccl19/P2rx7/Fgl2/Pf4/Fosl2/Il6/C1ra/C1s1/C1rb/Gimap3/Cd69/Cd27/C1s2/Ptpn6/Cd4/C3ar1/Cd19/Il27/Ctsc/Mill2/Pou2f2/Il18bp/Spn/Ascl2/Il21r/Irf7/H60c/Ulbp1/Raet1e/H60b/Prf1/Il12rb1/Il27ra/Gzmb/Pnp/Il20rb/Ccr2/Parp3/Slfn2/Tbx21/Irf1/Serpinb9/Il31ra/Batf/Ighg2c/Ighd/Ighv9-1/Ighv9-3/Ighv6-4/Ighv1-53/Ighv1-55/Ighv1-78/Rsad2/Il2rb/Lgals1/Igll1/Iglc3/Muc4/H2-DMa/Tap2/H2-M3/Rnf8/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/Ccr6/Tnf/H2-T24/H2-T23/H2-T22/H2-Q7/C4b/C2/Cd74/Cd274/Anxa1/Tcirg1/Unc93b1,109
GO:0050727,regulation of inflammatory response,102/2403,375/18994,0.272,2.149965876,8.559724741,1.79E-14,3.02E-12,2.57E-12,Il17a/Dusp10/Tnfsf4/Cd28/Slamf8/Fcer1a/Il1r1/Il10/Nmi/Gata3/Cst7/Nr1h3/Zbp1/Tlr2/Ptger3/Gbp5/Gbp3/Gbp2b/Gbp2/Ctss/Fcgr1/S100a8/S100a9/Tnc/Smpdl3b/Pla2g2d/Alox5ap/Stap1/Bst1/Pf4/Ccl24/Il6/Serpine1/Snca/Alox5/Usp18/Tac1/Fancd2/Ptpn6/Chrna7/Ctsc/Pycard/Kcnn4/Spn/Lilra5/Pde2a/Siglecg/Nkg7/Ggt1/Ido1/Cx3cl1/Wfdc1/Fanca/Ednrb/Pbk/Htr2a/Dnase1l3/Acod1/Lacc1/Tlr9/Atm/Il20rb/Ccr2/Ccr5/Casp12/Cx3cr1/Casp1/Casp4/Ifi35/Lgals9/Igtp/Irgm2/Osm/Nlrp1a/Nlrp1b/Ccl5/Ccl3/Sphk1/Grn/Il13/Irgm1/Aoah/Ctla2a/Arel1/Gpx2/C1qtnf3/Ccn4/Gsdmd/Lgals1/Cd200r4/Cd200r3/Mefv/Gpr31b/Fpr2/Pglyrp2/Tnf/Ier3/H2-T23/Tslp/Sting1/Pik3ap1/Anxa1,102
GO:0007159,leukocyte cell-cell adhesion,111/2403,423/18994,0.262411348,2.074174421,8.502854219,1.82E-14,3.02E-12,2.57E-12,Dusp10/Tnfsf4/Cd28/Icos/Pdcd1/Slamf1/Igfbp2/Sele/Sell/Selp/Lax1/Zap70/Ptprc/Prkcq/B2m/Itga4/Thbs1/Gata3/Rasgrp1/Bmp7/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/S100a8/S100a9/Lck/Ptafr/Pla2g2d/Ccl19/Tnfrsf14/Fgl2/Pf4/Dtx1/Card11/Il6/Gimap3/Cd69/Alox5/Cd27/Ptpn6/Cd4/Lag3/Tarm1/Pycard/Spn/Ascl2/Itgal/Cd177/Zc3h12d/Vnn1/Il15/Ido1/Cd209c/Efnb2/Il12rb1/Cd209e/Cd209d/Pnp/Thy1/Il20rb/Ccr2/Cd3e/Cx3cr1/Crtam/Lgals9/Slfn1/Gp1ba/Skap1/Tbx21/Ccl5/Slc4a1/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Sema4d/Ccl28/Has2/Itgb7/Lgals1/Tigit/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/Tnf/H2-T23/Lrg1/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,111
GO:0045824,negative regulation of innate immune response,44/2403,102/18994,0.431372549,3.409692133,9.286671109,1.84E-14,3.02E-12,2.57E-12,Dusp10/Slamf8/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Samhd1/Nmi/Serping1/Adar/Smpdl3b/Sfn/Isg15/Oas1h/Oas1g/Oas1a/Trafd1/Oas3/Oas1e/Oas1b/Clec2d/Usp18/A2m/Klrb1b/Ptpn6/Trim21/Stat2/Nlrc5/Acod1/Mmp12/Drd2/Lgals9/Grn/Aurkb/Dhx58/Serpinb9/Parp14/Tap1/Tap2/H2-M3/H2-T23,44
GO:0002237,response to molecule of bacterial origin,106/2403,397/18994,0.267002519,2.110464354,8.50973073,2.08E-14,3.33E-12,2.83E-12,Stat1/Dusp10/Tnfsf4/Fasl/Fcgr4/Il10/E2f1/Vim/B2m/Nr1h3/Gata1/Tlr2/Ptger3/Gbp5/Gbp3/Gbp2b/Gbp2/Il12a/S100a8/S100a14/Ptafr/Pde4b/Penk/Ttc39aos1/Alpl/P2rx7/Gbp10/Gbp6/Gfi1/Stap1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Nos1/Fosl2/Cxcl13/Il6/Serpine1/Kcnj8/Klrk1/Snca/Tnip3/Irf5/Il12rb2/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Pde2a/Trim5/Cyp27b1/Akap12/Ggt1/Nqo1/Ido1/Cx3cl1/Irf8/Mir27a/Ednrb/Acod1/Epsti1/Tlr9/Camp/Ccr5/Cyp1a1/Mir26a-1/Plscr2/Cx3cr1/Casp1/Casp4/Csf3/Nos2/Lgals9/Igtp/Irgm2/Scimp/Cd300lb/Ccl2/Irgm1/Cnp/Wfdc21/Edn1/Cd180/Ly86/Pde4d/Tifab/Fos/Cmpk2/Nr4a1/Tap2/Gpr31b/H2-M3/Eif2ak2/Tnf/C2/Ticam2/Cd14/Casp7/Cd274/Cd6,106
GO:0002832,negative regulation of response to biotic stimulus,51/2403,131/18994,0.389312977,3.077241235,9.079346453,2.39E-14,3.73E-12,3.17E-12,Dusp10/Pdcd1/Slamf8/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Samhd1/Nmi/Serping1/Adar/Smpdl3b/Sfn/Isg15/Fgl2/Oas1h/Oas1g/Oas1a/Trafd1/Oas3/Oas1e/Oas1b/Clec2d/Usp18/A2m/Klrb1b/Ptpn6/Trim21/Stat2/Nlrc5/Acod1/Mmp12/Drd2/Lgals9/Igtp/Irgm2/Grn/Aurkb/Irgm1/Dhx58/Serpinb9/Muc4/Parp14/Tap1/Tap2/H2-M3/H2-T23/Cd274,51
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,29/2403,50/18994,0.58,4.584486059,9.658583599,3.56E-14,5.40E-12,4.59E-12,B2m/Fcgr1/Clec4a2/Tapbpl/Clec4a3/Clec4a4/Mill2/H60c/Ulbp1/Raet1e/H60b/Calr/Tap1/Tap2/H2-M3/Tapbp/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7/Mpeg1,29
GO:1990868,response to chemokine,41/2403,93/18994,0.440860215,3.484685362,9.141298119,5.79E-14,8.37E-12,7.12E-12,Ccl20/Ackr3/Gpr35/Ackr1/Cxcr2/Cxcr1/Cxcr3/Mpl/Ccl19/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Ccl22/Cx3cl1/Ccl17/Ptk2b/Ccrl2/Xcr1/Ccr3/Ccr2/Ccr5/Ccr9/Cxcr6/Cx3cr1/Ccl8/Ccl5/Ccl6/Ccl3/Ccl4/Ccl2/Ccl7/Ccl11/Edn1/Ccr6/Lox,41
GO:1990869,cellular response to chemokine,41/2403,93/18994,0.440860215,3.484685362,9.141298119,5.79E-14,8.37E-12,7.12E-12,Ccl20/Ackr3/Gpr35/Ackr1/Cxcr2/Cxcr1/Cxcr3/Mpl/Ccl19/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Ccl22/Cx3cl1/Ccl17/Ptk2b/Ccrl2/Xcr1/Ccr3/Ccr2/Ccr5/Ccr9/Cxcr6/Cx3cr1/Ccl8/Ccl5/Ccl6/Ccl3/Ccl4/Ccl2/Ccl7/Ccl11/Edn1/Ccr6/Lox,41
GO:0022409,positive regulation of cell-cell adhesion,93/2403,336/18994,0.276785714,2.187793532,8.360176343,8.36E-14,1.18E-11,1.00E-11,Dusp10/Tnfsf4/Cd28/Icos/Slamf1/Igfbp2/Sele/Selp/Zap70/Ptprc/Prkcq/Itga6/B2m/Itga4/Gata3/Rasgrp1/Bmp7/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/Lck/Ptafr/Ccl19/Tnfrsf14/Card11/Cxcl13/Il6/Gimap3/Podxl/Alox5/Cd27/Cd4/Pycard/Spn/Itgal/Plaur/Vnn1/Il15/Cd209c/Cx3cl1/Efnb2/Il12rb1/Cd209e/Cd209d/Htr2a/Pnp/Thy1/Ccr2/Ccr5/Cd3e/Lgals9/Gp1ba/Skap1/Ccl5/Slc4a1/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Pde4d/Mfsd2b/Has2/Lgals1/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/Emilin2/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/Tnf/H2-T23/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,93
GO:0002703,regulation of leukocyte mediated immunity,84/2403,290/18994,0.289655172,2.289517414,8.421633764,8.73E-14,1.20E-11,1.02E-11,Tnfsf4/Cd28/Pdcd1/Slamf1/Fcer1a/Slamf6/Il1r1/Ptprc/B2m/Cd40/Gata3/Rasgrp1/Sh2d1a/Gata1/Tlr2/Il21/Cd1d1/Cd160/Il12a/Fcgr1/Ptafr/Rigi/P2rx7/Stap1/Cxcl1/Il6/Clnk/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Klrb1a/Klrb1c/Klrb1b/Ptpn6/Lag3/Mill2/Spn/Cd177/Calhm6/H60c/Ulbp1/Raet1e/H60b/Tlr3/Bst2/Il27ra/Dnase1l3/Pnp/Tlr9/Il20rb/Ccr2/Parp3/Cx3cr1/Crtam/Lgals9/Scimp/Tbx21/Il13/Ccl2/Serpinb9/Rsad2/Muc4/Tap1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/Tnf/H2-T24/H2-T23/H2-T22/H2-Q7/Cd274/Ms4a2,84
GO:0032496,response to lipopolysaccharide,101/2403,379/18994,0.266490765,2.106419307,8.280283721,9.82E-14,1.32E-11,1.13E-11,Stat1/Dusp10/Tnfsf4/Fasl/Fcgr4/Il10/E2f1/Vim/B2m/Nr1h3/Gata1/Ptger3/Gbp5/Gbp3/Gbp2b/Gbp2/Il12a/S100a8/S100a14/Ptafr/Pde4b/Penk/Ttc39aos1/Alpl/P2rx7/Gbp10/Gbp6/Gfi1/Stap1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Nos1/Fosl2/Cxcl13/Il6/Serpine1/Kcnj8/Klrk1/Snca/Tnip3/Il12rb2/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Pde2a/Trim5/Cyp27b1/Akap12/Ggt1/Nqo1/Ido1/Cx3cl1/Irf8/Mir27a/Ednrb/Acod1/Epsti1/Tlr9/Camp/Ccr5/Cyp1a1/Mir26a-1/Plscr2/Cx3cr1/Casp1/Casp4/Csf3/Nos2/Lgals9/Igtp/Irgm2/Scimp/Cd300lb/Ccl2/Irgm1/Cnp/Wfdc21/Edn1/Cd180/Ly86/Pde4d/Tifab/Fos/Cmpk2/Nr4a1/Eif2ak2/Tnf/C2/Ticam2/Cd14/Casp7/Cd274/Cd6,101
GO:0050863,regulation of T cell activation,103/2403,390/18994,0.264102564,2.087542282,8.258718749,1.04E-13,1.37E-11,1.16E-11,Dusp10/Tnfsf4/Cd28/Icos/Pdcd1/Slamf1/Igfbp2/Lax1/Zap70/Ptprc/Prkcq/B2m/Gata3/Mapk8ip1/Rasgrp1/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/Lck/Pla2g2d/Ccl19/Tnfrsf14/Fgl2/Pf4/Dtx1/Card11/Il6/Gimap3/Cd69/Cyp26b1/Cd27/Fancd2/Ptpn6/Cd4/Lag3/Lat/Il27/Lmo1/Tarm1/Pycard/Spn/Ascl2/Itgal/Zc3h12d/Vnn1/Il15/Ido1/Cd209c/Efnb2/Il12rb1/Cd209a/Cd209e/Cd209d/Fanca/Duxbl1/Pnp/Cgas/Thy1/Il20rb/Ccr2/Cd3e/Crtam/Lgals9/Tcf7/Slfn1/Tbx21/Ccl5/Slc4a1/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Ctla2a/Lgals1/Tigit/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/H2-T23/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,103
GO:1903039,positive regulation of leukocyte cell-cell adhesion,82/2403,281/18994,0.291814947,2.306588887,8.397650563,1.10E-13,1.42E-11,1.21E-11,Dusp10/Tnfsf4/Cd28/Icos/Slamf1/Igfbp2/Sele/Selp/Zap70/Ptprc/Prkcq/B2m/Itga4/Gata3/Rasgrp1/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/Lck/Ptafr/Ccl19/Tnfrsf14/Card11/Il6/Gimap3/Alox5/Cd27/Cd4/Pycard/Spn/Itgal/Vnn1/Il15/Cd209c/Efnb2/Il12rb1/Cd209e/Cd209d/Pnp/Thy1/Ccr2/Cd3e/Lgals9/Gp1ba/Skap1/Ccl5/Slc4a1/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Has2/Lgals1/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/Tnf/H2-T23/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,82
GO:1903900,regulation of viral life cycle,55/2403,153/18994,0.359477124,2.841410111,8.703253872,1.20E-13,1.51E-11,1.29E-11,Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Ifih1/Fcnb/Znfx1/Gbp7/Adar/Isg15/Oas1h/Oas1g/Oas1a/Oas2/Oas3/Oas1e/Oas1b/Oasl2/Oasl1/Cd4/Isg20/Ifitm1/Ifitm3/Ifitm6/Trim34a/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Trim34b/Trim21/Cd209c/Bst2/N4bp1/Cd209e/Cd209d/Tmprss4/Top2a/Ccl5/Rsad2/Ly6e/Apobec3/Lgals1/Ciita/Mx2/Trim10/Eif2ak2/Tnf/Cd74/Fam111a,55
GO:0045071,negative regulation of viral genome replication,32/2403,62/18994,0.516129032,4.079631643,9.2434428,1.45E-13,1.79E-11,1.52E-11,Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Ifih1/Znfx1/Isg15/Oas1h/Oas1g/Oas1a/Oas2/Oas3/Oas1e/Oas1b/Oasl2/Oasl1/Isg20/Ifitm1/Ifitm3/Ifitm6/Bst2/N4bp1/Ccl5/Rsad2/Apobec3/Mx2/Eif2ak2/Tnf/Fam111a,32
GO:0002274,myeloid leukocyte activation,79/2403,269/18994,0.293680297,2.321333154,8.306440276,2.15E-13,2.60E-11,2.21E-11,Fcgr4/Fn1/Cd48/Slamf1/Pla2g4a/Fcer1a/Cxcr2/Il10/Ptgds/Thbs1/Nmi/Itgb6/Prg3/Cst7/Rasgrp1/Nr1h3/Gata1/Tlr2/Cd1d1/Stxbp3/Ptafr/C1qa/Stap1/Clnk/Kcnj8/Gimap3/Klrk1/Snca/Ptpn6/Lat/Ctsc/Pycard/Kcnn4/Crtc3/Mrgprb1/Muc5b/Flt3l/Cd177/Ulbp1/Ifngr1/Tlr3/Il15/Cx3cl1/Dnase1l3/Epsti1/Tlr9/Atm/Camp/Ccr2/Plscr2/Cx3cr1/Casp1/Ifi35/Tmem106a/Lgals9/Ccl5/Ccl3/Tac4/Sphk1/Cd300lb/Grn/Il13/Irgm1/Lcp2/Snhg20/Batf/Nampt/Itgb8/Tmem229b/Ubd/Aif1/Tnf/Rab44/Tslp/Camk4/Grp/Ms4a2/Anxa1/Batf2,79
GO:1903037,regulation of leukocyte cell-cell adhesion,101/2403,385/18994,0.262337662,2.073591993,8.099262939,2.84E-13,3.36E-11,2.86E-11,Dusp10/Tnfsf4/Cd28/Icos/Pdcd1/Slamf1/Igfbp2/Sele/Selp/Lax1/Zap70/Ptprc/Prkcq/B2m/Itga4/Gata3/Rasgrp1/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/Lck/Ptafr/Pla2g2d/Ccl19/Tnfrsf14/Fgl2/Pf4/Dtx1/Card11/Il6/Gimap3/Cd69/Alox5/Cd27/Ptpn6/Cd4/Lag3/Tarm1/Pycard/Spn/Ascl2/Itgal/Zc3h12d/Vnn1/Il15/Ido1/Cd209c/Efnb2/Il12rb1/Cd209e/Cd209d/Pnp/Thy1/Il20rb/Ccr2/Cd3e/Crtam/Lgals9/Slfn1/Gp1ba/Skap1/Tbx21/Ccl5/Slc4a1/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Ccl28/Has2/Lgals1/Tigit/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/Tnf/H2-T23/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,101
GO:0030595,leukocyte chemotaxis,69/2403,223/18994,0.30941704,2.445720876,8.264766091,4.65E-13,5.40E-11,4.59E-11,Gpr35/Slamf1/Slamf9/Slamf8/Sell/Cxcr2/Cxcr1/Mmp9/Thbs1/Edn3/Cxcr3/Il12a/Csf1/S100a8/S100a9/S100a14/Pde4b/Ccl19/Stap1/Bst1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Serpine1/Klrk1/Ptpro/Alox5/Ptn/Rarres2/C3ar1/Trpm2/Mmp2/Ccl22/Cx3cl1/Calr/Ednrb/Ptk2b/Gpr18/Ccr3/Ccr2/Cx3cr1/Ccl8/Ccl5/Ccl6/Ccl3/Ccl4/Ccl2/Ccl7/Ccl11/Mmp28/Edn1/Pde4d/Itga1/Cxcl14/Pgf/Retnlg/Trem1/Fpr2/Pla2g7/Ccr6/Aif1/Cd74/Anxa1,69
GO:0050867,positive regulation of cell activation,103/2403,399/18994,0.258145363,2.040454862,7.993721035,4.90E-13,5.59E-11,4.75E-11,Dusp10/Tnfsf4/Cd28/Icos/Slamf1/Igfbp2/Pla2g4a/Selp/Zap70/Il10/Ptprc/Prkcq/B2m/Cd40/Nfatc2/Thbs1/Gata3/Il15ra/Rasgrp1/Cd40lg/Il2rg/Vcam1/Il21/Cd1d1/Cd160/Sirpd/Sirpb1a/Il12a/Lck/Mpl/Ccl19/Tnfrsf14/Stap1/Bst1/Card11/Il6/Gimap3/Klrk1/Tac1/Gp9/Cd27/Cd4/Ctsc/Pycard/Kcnn4/Spn/Flt3l/Lilra5/Itgal/Ulbp1/Vnn1/Il15/Cd209c/Efnb2/Irs2/Il12rb1/Cd209e/Cd209d/Fgfr1/Pnp/Tlr9/Thy1/Ccr2/Cd3e/Lgals9/Gp1ba/Tbx21/Ccl5/Cd300lb/Slc4a1/Il13/Irf1/Ccl2/Irgm1/Btn2a2/Sox4/Ighd/Lgals1/Gp5/Gp1bb/Socs1/Hes1/H2-DMa/H2-DMb2/H2-DMb1/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Rasal3/H2-Oa/H2-Eb2/Aif1/Tnf/H2-T23/Tslp/Cd74/Cd274/Cd5/Cd6/Anxa1/Ccdc88b,103
